Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_writ,mem_used,mem_free,mem_buff,mem_cach
1,22.433,4.422,882311.047,34976729.59,6278377472,18099957760,2210820096,37508231168
2,4.594,1.987,0,1114112,6331371520,18051489792,2210820096,37504593920
3,4.444,1.993,0,2465792,6344810496,18048929792,2210828288,37497749504
4,3.518,3.435,0,2822144,6347079680,18915872768,2210840576,36639956992
5,3.082,3.29,0,1458176,6342316032,20856205312,2210852864,34745335808
6,3.283,3.574,0,4694016,6351876096,22775853056,2210852864,32851980288
7,3.557,2.854,0,2646016,6337667072,23192674304,2210856960,32460722176
8,4.364,2.826,0,1875968,6349504512,23217364992,2210865152,32424636416
9,4.634,3.31,0,1024000,6338990080,23230869504,2210873344,32423526400
10,4.544,2.251,0,30543872,6359584768,23182426112,2210873344,32450924544
11,10.75,6.708,0,8290304,6475227136,23064821760,2210897920,32451645440
12,19.934,2.559,0,2318336,6576025600,22947053568,2210942976,32464093184
13,19.162,3.816,0,20762624,6728970240,22786191360,2210996224,32469200896
14,32.017,4.075,0,34803712,6977044480,22447136768,2211004416,32558116864
15,37.552,4.921,0,52846592,7132487680,22252355584,2211020800,32594296832
16,48.243,4.059,0,7663616,7293284352,22082043904,2211028992,32601264128
17,7.74,1.373,16384,311296,7285784576,22075658240,2211033088,32614318080
18,4.404,1.371,0,23945216,7310274560,22044852224,2211041280,32620445696
19,4.861,1.703,4489216,135168,7138054144,22216769536,2211041280,32620453888
20,4.938,1.452,0,1257472,7194046464,22160637952,2211045376,32620589056
21,0.835,1.294,0,20480,7199944704,22154539008,2211045376,32620683264
22,0.292,0.292,0,0,7199469568,22154928128,2211045376,32620736512
23,0.708,1.291,0,0,7200448512,22153887744,2211045376,32620797952
24,0.292,1.252,0,0,7200784384,22153519104,2211045376,32620830720
25,0.542,1.544,0,0,7197962240,22156800000,2211045376,32620867584
26,0.584,0.876,0,106496,7196680192,22158082048,2211045376,32620900352
27,0.501,0.501,0,0,7198187520,22156361728,2211045376,32621113344
28,0.376,1.42,0,0,7198298112,22156132352,2211045376,32621232128
29,0.458,1.292,0,16384,7198863360,22155522048,2211045376,32621260800
30,0.375,1.208,0,0,7199412224,22154948608,2211045376,32621285376
31,3.792,1.375,0,2322432,7137361920,22217818112,2211049472,32620462080
32,4.95,1.123,0,4096,7173398528,22181466112,2211049472,32620695552
33,2,1.625,0,1757184,7156469760,22198337536,2211053568,32620699648
34,0.541,1.458,0,0,7157858304,22196928512,2211053568,32620720128
35,0.292,1.416,0,0,7158714368,22196051968,2211053568,32620724224
36,0.25,0.083,0,12288,7158063104,22196703232,2211053568,32620724224
37,0.375,1.25,0,12288,7159308288,22195458048,2211053568,32620724224
38,0.209,1.294,0,110592,7159119872,22195646464,2211053568,32620724224
39,0.333,1.167,0,12288,7158902784,22195847168,2211053568,32620724224
40,0.167,1.252,0,0,7159812096,22194937856,2211053568,32620724224
41,0.25,0.458,0,16384,7155892224,22198857728,2211053568,32620724224
42,0.209,1.335,0,0,7156600832,22198149120,2211053568,32620724224
43,0.292,1.293,0,81920,7155466240,22199283712,2211053568,32620724224
44,0.208,1.251,0,3444736,7154782208,22199967744,2211053568,32620724224
45,0.209,0.96,0,0,7155634176,22199115776,2211053568,32620724224
46,0.375,0.584,0,679936,7155478528,22199214080,2211057664,32620728320
47,0.457,1.206,0,12288,7154925568,22199767040,2211057664,32620728320
48,4.839,1.737,0,720896,7207694336,22146572288,2211078144,32620789760
49,4.859,1.827,16384,5844992,7251660800,22100631552,2211082240,32620793856
50,1.868,0.872,1093632,14667776,7260930048,22090825728,2211139584,32621084672
51,5.285,1.54,0,397312,7296290816,22055534592,2211151872,32620945408
52,4.948,1.663,0,0,7360118784,21991698432,2211151872,32620953600
53,3.453,1.539,0,0,7388753920,21963055104,2211151872,32620961792
54,3.09,1.67,0,4096,7419990016,21931814912,2211151872,32620965888
55,2.879,0.96,0,0,7451406336,21900390400,2211151872,32620974080
56,3.037,1.581,0,118784,7481884672,21869907968,2211151872,32620978176
57,3.286,1.83,0,12288,7514755072,21837037568,2211151872,32620978176
58,4.305,1.49,0,0,7541260288,21810528256,2211151872,32620982272
59,4.319,2.201,0,5296128,7130345472,22221307904,2211151872,32621047808
60,4.043,1.709,0,2347008,7132745728,22161096704,2211172352,32678854656
61,4.106,2.779,0,1024000,7132712960,22104621056,2211180544,32735354880
62,5.116,2.662,0,0,7133261824,21986390016,2211180544,32853037056
63,4.806,2.674,0,0,7132872704,21816496128,2211180544,33023320064
64,5.25,2.083,0,49086464,7130361856,21653889024,2211184640,33188433920
65,3.94,1.742,15400960,96608256,7132934144,21579345920,2211201024,33260388352
66,3.415,2.457,4521984,1720320,7105712128,21562822656,2211205120,33304129536
67,1.083,1.249,0,0,7111507968,21557026816,2211205120,33304129536
68,0.375,1.293,0,0,7112912896,21555621888,2211205120,33304129536
69,0.334,0.584,0,12288,7113146368,21555294208,2211205120,33304133632
70,0.334,0.917,0,203436032,7113314304,21555101696,2211213312,33304150016
71,0.292,1.336,0,42356736,7112593408,21555822592,2211213312,33304150016
72,0.334,1.251,0,0,7112986624,21555429376,2211213312,33304150016
73,0.292,1.375,0,0,7111852032,21556563968,2211213312,33304150016
74,1.792,0.458,0,0,7113396224,21555019776,2211213312,33304150016
75,0.333,1,0,651264,7113383936,21554745344,2211225600,33304350720
76,0.458,1.373,0,16384,7114063872,21554065408,2211225600,33304350720
77,3.015,2.23,0,61849600,7108743168,21565788160,2211229696,33304293376
78,5.828,2.498,0,10461184,6478073856,22198829056,2211237888,33304117248
79,1.632,1.339,16384,2920448,6462865408,22218174464,2211246080,33304031232
80,4.033,3.077,0,2969600,6351908864,22789971968,2211250176,32850210816
81,4.821,3.09,0,16384,6357032960,22757675008,2211250176,32877359104
82,5.095,2.983,0,34267136,6373089280,22741114880,2211254272,32877821952
83,13.716,6.983,0,5750784,6527909888,22565351424,2211254272,32896712704
84,16.798,3.701,7716864,115953664,6738333696,22162251776,2211282944,33085140992
85,20.256,4.043,0,102395904,6838132736,22083211264,2211340288,33063149568
86,31.255,3.117,0,2355200,7048384512,21868965888,2211352576,33063907328
87,38.388,2.576,0,262144,7224287232,21690974208,2211356672,33063960576
88,32.413,1.422,0,0,7261757440,21651480576,2211356672,33064050688
89,6.061,1.162,0,24576,7299870720,21612511232,2211356672,33064062976
90,6.131,1.698,0,0,7378415616,21533917184,2211356672,33064058880
91,3.713,1.877,0,16384,7410982912,21501300736,2211356672,33064058880
92,3.243,1.622,0,221184,7442034688,21470248960,2211356672,33064058880
93,3.249,1.041,0,507904,7473233920,21439045632,2211360768,33064058880
94,2.797,1.461,0,0,7506153472,21406109696,2211360768,33064058880
95,3.254,1.502,0,0,7537770496,21374492672,2211360768,33064058880
96,3.172,1.753,0,16384,7558610944,21353652224,2211360768,33064058880
97,4.113,2.119,0,344064,7134785536,21777477632,2211364864,33064054784
98,4.085,1.459,0,937984,7137398784,21708378112,2211364864,33130536960
99,4.95,2.329,0,884736,7138750464,21635706880,2211381248,33201823744
100,4.587,3.044,0,0,7140057088,21462876160,2211381248,33373347840
101,4.477,2.845,0,16384,7133425664,21297631232,2211381248,33545719808
102,4.09,2.546,0,868352,7126818816,21189406720,2211401728,33660678144
103,3.617,1.58,0,1449984,7111897088,21168291840,2211426304,33696690176
104,2.583,1.625,0,114688,7096291328,21156319232,2211426304,33724186624
105,0.5,1.293,0,0,7097204736,21155405824,2211426304,33724186624
106,0.292,1.461,0,819200,7097802752,21154803712,2211426304,33724190720
107,0.292,0.834,0,0,7097593856,21155012608,2211426304,33724190720
108,0.209,0.835,0,0,7096860672,21155745792,2211426304,33724190720
109,0.208,1.209,0,16384,7096307712,21156294656,2211426304,33724194816
110,0.292,1.294,0,0,7097237504,21155364864,2211426304,33724194816
111,0.5,1.291,0,151552,7097421824,21155098624,2211426304,33724194816
112,0.417,0.458,0,0,7096528896,21155991552,2211426304,33724194816
113,0.418,0.877,0,0,7094108160,21158412288,2211426304,33724194816
114,2.16,2.119,0,126976,7085981696,21167067136,2211426304,33724137472
115,0.584,1.586,0,215281664,7085895680,21172686848,2211430400,33724137472
116,1.003,1.504,0,239022080,7086813184,21171765248,2211434496,33724137472
117,4.674,2.254,16384,5341184,6452125696,21808992256,2211467264,33724116992
118,1.25,1.75,0,1503232,6445694976,21818023936,2211471360,33723957248
119,0.417,1.334,0,36864,6362030080,21901656064,2211471360,33723957248
120,4.032,3.533,0,2818048,6345711616,22371606528,2211500032,33273307136
121,4.27,2.695,0,16384,6357278720,22332473344,2211500032,33300676608
122,8.835,4.023,0,36802560,6492905472,22196191232,2211532800,33300951040
123,12.464,5.673,4210688,32063488,6599970816,22055370752,2211545088,33331208192
124,14.707,3.116,3506176,75476992,6726602752,21854756864,2211561472,33403031552
125,22.59,4.013,0,112300032,6848438272,21648285696,2211581952,33486622720
126,30.61,3.194,0,3518464,7029309440,21463441408,2211606528,33487253504
127,37.156,2.043,0,274432,7174684672,21315952640,2211614720,33487323136
128,24.099,1.781,0,0,7210221568,21279539200,2211614720,33487396864
129,4.865,1.455,0,16384,7255470080,21232877568,2211614720,33487400960
130,4.913,2.04,0,1269760,7102042112,21385367552,2211635200,33487634432
131,4.007,2.295,0,696320,7094906880,21321474048,2211635200,33558663168
132,4.572,2.161,0,225280,7117217792,21215346688,2211639296,33642475520
133,4.587,3.086,0,0,7100166144,21055295488,2211639296,33819578368
134,5.044,2.835,0,0,7099760640,20873236480,2211639296,34002026496
135,4.043,2.459,0,884736,7101366272,20779204608,2211655680,34094436352
136,3.753,1.793,0,1646592,7064440832,20762816512,2211676160,34147729408
137,1.583,1.208,0,0,7070781440,20757213184,2211676160,34147725312
138,0.251,1.127,0,0,7070367744,20757626880,2211676160,34147725312
139,0.5,1.292,0,790528,7070912512,20757032960,2211676160,34147725312
140,0.25,1.418,0,0,7071891456,20756054016,2211676160,34147725312
141,0.25,0.334,0,20480,7070892032,20757053440,2211676160,34147725312
142,0.292,1.167,0,12288,7071014912,20756901888,2211676160,34147737600
143,0.209,1.086,0,0,7071285248,20756631552,2211676160,34147737600
144,0.375,1.334,0,131072,7071883264,20756033536,2211676160,34147737600
145,0.417,1.209,0,0,7072190464,20755726336,2211676160,34147737600
146,0.501,0.167,0,16384,7071285248,20756631552,2211676160,34147737600
147,1.715,2.176,0,65683456,7065481216,20767940608,2211676160,34147807232
148,0.25,1.711,0,260997120,7065382912,20768038912,2211676160,34147807232
149,2.714,2.463,16384,130273280,6475100160,21359161344,2211688448,34147487744
150,3.284,2.695,0,4337664,6449942528,21389488128,2211692544,34147287040
151,0.333,0.584,0,20480,6448959488,21390471168,2211692544,34147287040
152,0.375,1.125,0,4096,6447681536,21391745024,2211692544,34147291136
153,0.626,1.335,0,602112,6447910912,21391515648,2211692544,34147291136
154,1.499,1.832,0,90112,6360784896,21479436288,2211692544,34147074048
155,14.435,11.172,0,2703360,6398939136,21883949056,2211696640,33706618880
156,20.644,6.185,0,54493184,6512893952,21560066048,2211704832,33915654144
157,6.773,4.849,0,179703808,6525648896,21547073536,2211737600,33915633664
158,7.535,3.014,0,5193728,6526406656,21545046016,2211762176,33916149760
159,17.645,11.524,0,25767936,6793613312,21275721728,2211799040,33916870656
160,16.419,9.037,53248,117125120,6936010752,21027303424,2211864576,34018103296
161,31.074,10.821,7700480,99823616,7325581312,20520292352,2211872768,34125815808
162,33.461,14.243,16384,147759104,7586402304,20017033216,2211880960,34360066048
163,53.113,16.264,7061504,121839616,8157040640,19299323904,2211905536,34497429504
164,46.763,10.284,2736128,177438720,8314507264,18905923584,2211926016,34720100352
165,56.168,7.747,3702784,191283200,8491618304,18706821120,2211926016,34735861760
166,71.227,13.339,3145728,144809984,9048862720,17808293888,2211942400,35068477440
167,79.279,11.619,1572864,218050560,9328623616,17412448256,2211954688,35177807872
168,79.277,14.638,13139968,127156224,9796272128,16786407424,2211975168,35330449408
169,84.01,8.46,7634944,135639040,10053185536,16403935232,2211995648,35447922688
170,88.211,8.758,12058624,105824256,10362413056,16137150464,2212003840,35401084928
171,82.032,11.587,2949120,147714048,10854735872,15467368448,2212024320,35573223424
172,84.783,13.378,0,75436032,11216158720,15102754816,2212073472,35573563392
173,87.738,9.641,0,5033984,11521527808,14849056768,2212098048,35517239296
174,92.092,5.523,0,2859008,11779764224,14667304960,2212102144,35435417600
175,91.712,6.857,0,692224,12106883072,14358953984,2212102144,35408035840
176,90.768,6.84,0,606208,12450738176,14007377920,2212106240,35408134144
177,90.798,6.639,0,794624,12779335680,13670559744,2212114432,35408289792
178,93.719,4.992,0,425984,13071519744,13371183104,2212114432,35408601088
179,93.889,4.563,0,827392,13071437824,13363978240,2212167680,35408683008
180,89.423,6.026,0,966656,13117857792,13285171200,2212294656,35435876352
181,87.932,5.907,4096,704512,13178589184,13164961792,2212352000,35490971648
182,90.86,4.948,0,1191936,12966985728,13366095872,2212372480,35500363776
183,85.246,4.96,0,2953216,12891807744,13394624512,2212556800,35545944064
184,16.95,3.232,8192,4243456,12913610752,13331181568,2212810752,35585822720
185,17.44,3.77,0,3903488,12988604416,13198475264,2212933632,35641901056
186,16.242,4.05,0,2859008,12759191552,13276893184,2212978688,35790168064
187,12.971,5.429,0,1523712,12546965504,13192712192,2213167104,36082061312
188,10.71,3.528,0,1990656,12544954368,12967051264,2213232640,36304846848
189,10.191,4.184,0,1855488,12501762048,12781039616,2213298176,36529700864
190,8.128,3.251,0,0,12511883264,12575191040,2213298176,36723081216
191,5.158,4.077,0,157495296,12483112960,12498927616,2213310464,36832813056
192,2.043,1.792,0,258007040,12459716608,12523909120,2213310464,36832612352
193,1.461,1.21,0,249982976,12456878080,12527046656,2213310464,36832624640
194,4.073,3.408,0,218959872,12435668992,12561195008,2213310464,36832514048
195,17.65,5.688,65536,140513280,11844169728,13147111424,2213384192,36848201728
196,12.078,8.742,16384,16379904,8935706624,16063127552,2213441536,36857196544
197,7.809,8.358,0,28073984,8914255872,16088084480,2213445632,36857282560
198,10.408,5.579,0,15978496,8910213120,16602435584,2213478400,36360740864
199,9.242,5.162,16384,14741504,8093331456,17909940224,2213507072,35894714368
200,6.515,4.75,0,7118848,8060624896,18201272320,2213507072,35654082560
201,6.536,4.08,16384,6512640,7315652608,18950598656,2213523456,35653468160
202,2.796,2.421,0,4739072,7289573376,19227856896,2213523456,35412226048
203,0.334,0.334,0,12288,7290126336,19227299840,2213523456,35412230144
204,0.583,1.207,0,0,7291002880,19226296320,2213523456,35412234240
