Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_writ,mem_used,mem_free,mem_buff,mem_cach
1,22.011,4.359,877992.858,34670881.76,8056647680,19043786752,2168582144,34948435968
2,4.89,2.321,188416,2121728,8122220544,18982944768,2168614912,34944815104
3,4.276,2.076,12288,3166208,8139849728,18975277056,2168639488,34938380288
4,3.512,3.802,20480,2736128,8123879424,19858116608,2168672256,34080595968
5,3.886,3.431,0,1376256,8140955648,21758173184,2168688640,32187674624
6,3.514,3.514,20480,1798144,8142299136,23675723776,2168729600,30294532096
7,3.957,3.124,12288,2641920,8142372864,24111763456,2168770560,29866999808
8,5.362,1.787,0,5107712,8140738560,24116424704,2168786944,29866057728
9,4.695,3.501,4096,835584,8124813312,24132177920,2168803328,29866479616
10,5.514,2.778,0,31895552,8150958080,24078868480,2168819712,29893255168
11,9.22,7.259,0,6311936,8248659968,23979937792,2168877056,29893644288
12,8.416,3.151,389120,28098560,8376352768,23825805312,2168958976,29915934720
13,17.891,3.902,1036288,31051776,8518901760,23672344576,2169020416,29924036608
14,21.393,3.339,110592,5001216,8649195520,23566245888,2169020416,29898051584
15,28.518,6.149,8192,54804480,8821317632,23240089600,2169081856,30047223808
16,34.292,3.208,16384,1011712,8931651584,23123963904,2169110528,30051397632
17,38.762,1.994,0,1130496,9089970176,22959644672,2169114624,30057213952
18,18.182,1.418,4489216,23580672,9110921216,22931812352,2169118720,30063788032
19,4.581,1.541,212992,126976,8952053760,23089954816,2169118720,30064021504
20,4.738,1.579,0,774144,9008594944,23033327616,2169118720,30064025600
21,1.288,1.745,0,557056,9015001088,23026622464,2169118720,30064128000
22,0.5,0.75,0,12288,9016561664,23025000448,2169118720,30064189440
23,0.459,0.71,0,0,8980930560,23060549632,2169118720,30064238592
24,1.62,1.786,0,12288,8973283328,23068426240,2169118720,30064291840
25,1,1.333,0,0,8943476736,23098277888,2169118720,30064336896
26,1.039,1.413,0,167936,8944676864,23096840192,2169118720,30064541696
27,0.709,0.667,0,0,8944381952,23097008128,2169118720,30064668672
28,0.626,1.085,0,1249280,8953942016,23087390720,2169122816,30064721920
29,4.527,1.993,0,1531904,8882819072,23159119872,2169122816,30064099328
30,4.538,1.582,0,20480,8938676224,23103246336,2169122816,30064115712
31,1.334,1.376,0,1269760,8944103424,23097810944,2169126912,30064119808
32,1.669,0.459,0,24576,8945004544,23096750080,2169126912,30064279552
33,0.835,1.127,0,0,8945160192,23096430592,2169126912,30064427008
34,0.665,1.414,0,12288,8946479104,23095111680,2169126912,30064427008
35,0.417,1.376,0,0,8945205248,23096385536,2169126912,30064427008
36,0.458,1.125,0,1069056,8946495488,23095324672,2169135104,30064156672
37,0.209,0.459,0,0,8945836032,23095984128,2169135104,30064156672
38,0.5,1.583,0,0,8945770496,23096049664,2169135104,30064156672
39,0.458,1.125,0,0,8945020928,23096803328,2169135104,30064152576
40,0.417,1.294,0,0,8944959488,23096864768,2169135104,30064152576
41,0.541,0.958,0,12288,8942907392,23098916864,2169135104,30064152576
42,0.25,0.542,0,155648,8942481408,23099338752,2169139200,30064152576
43,0.541,1.373,0,0,8941015040,23100805120,2169139200,30064152576
44,0.458,1.333,0,2883584,8941977600,23099777024,2169139200,30064218112
45,0.5,1.374,0,0,8941735936,23100018688,2169139200,30064218112
46,0.541,0.708,0,12288,8942370816,23099383808,2169139200,30064218112
47,0.25,1.042,0,217088,8942141440,23099613184,2169139200,30064218112
48,4.649,1.785,0,659456,8999239680,23041523712,2169180160,30064283648
49,4.54,1.624,36864,6918144,9041014784,22997463040,2169188352,30064914432
50,1.911,1.496,32768,14692352,9049010176,22989352960,2169262080,30064799744
51,6.457,0.745,0,24576,9088131072,22950531072,2169262080,30064451584
52,5.433,1.742,0,28672,9153130496,22885523456,2169262080,30064459776
53,3.317,1.658,0,0,9190391808,22848241664,2169262080,30064480256
54,3.285,2.037,0,12288,9227214848,22811410432,2169262080,30064488448
55,3.087,1.585,0,0,9259343872,22779281408,2169262080,30064488448
56,3.202,0.832,0,155648,9289531392,22749093888,2169262080,30064488448
57,3.948,1.787,0,0,9317789696,22720831488,2169262080,30064492544
58,3.774,1.659,0,98304,9337827328,22700793856,2169266176,30064488448
59,4.252,2.876,0,6082560,8917909504,23108325376,2169286656,30076702720
60,4.494,2.497,0,2252800,8922345472,23018426368,2169298944,30162104320
61,5.029,1.704,0,16384,8922206208,22871183360,2169298944,30309486592
