"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output ./dstat_4_thread.csv",,,,"Date:","13 May 2019 18:53:50 WEST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
22.587,4.421,70.964,2.028,0,882556.664,35066483.422,0,0,190.876,724.782,9793.650,28232.049,1,0,169.618,4417220608,17235931136,2241810432,40072982528,190.876,724.782,882556.664,35066483.422,9793.650,28232.049,22.587,4.421,70.964,2.028,0
4.600,2.362,92.955,0.083,0,0,876544,624,624,0,0,5780,9835,1,0,145,4475318272,17182588928,2241810432,40069685248,0,0,0,876544,5780,9835,4.600,2.362,92.955,0.083,0
4.764,2.875,92.156,0.205,0,0,2629632,0,0,0,0,9451,13491,2,0,252,4490682368,17177939968,2241814528,40062627840,0,0,0,2629632,9451,13491,4.764,2.875,92.156,0.205,0
3.315,3.357,93.079,0.249,0,0,2457600,0,0,0,0,9799,16655,1,0,286,4489510912,18053160960,2241822720,39204835328,0,0,0,2457600,9799,16655,3.314,3.355,93.082,0.249,0
4.089,2.685,93.102,0.124,0,0,1179648,0,0,0,0,6831,11495,2,0,169,4493115392,19669491712,2241835008,37625929728,0,0,0,1179648,6840,11513,4.089,2.685,93.102,0.124,0
2.895,3.557,93.300,0.248,0,0,2244608,624,624,0,0,10102,13909,2,0,231,4492529664,21930430464,2241843200,35416854528,0,0,0,2244608,10094,13908,2.893,3.554,93.306,0.248,0
4.421,2.851,92.562,0.165,0,0,2203648,624,624,0,0,8093,13622,1,0,222,4492148736,22296698880,2241859584,35062009856,0,0,0,2203648,8118,13667,4.421,2.851,92.562,0.165,0
4.559,2.860,92.416,0.166,0,0,1495040,0,0,0,0,9852,15815,1,0,283,4499021824,22327435264,2241888256,35025690624,0,0,0,1495040,9826,15753,4.564,2.863,92.407,0.166,0
4.260,3.681,91.853,0.207,0,0,1445888,0,0,0,0,13225,19839,3,0,398,4500807680,22328946688,2241892352,35024547840,0,0,0,1445888,13237,19885,4.260,3.681,91.853,0.207,0
4.894,1.991,93.032,0.083,0,0,405504,272,309,0,0,6304,13274,3,0,212,4506972160,22295187456,2241896448,35051921408,0,0,0,405504,6294,13235,4.894,1.991,93.032,0.083,0
7.894,6.398,83.091,2.617,0,0,38490112,624,1496,0,0,17999,38028,0,0,455,4691906560,22108688384,2241925120,35052310528,0,0,0,38490112,18002,38027,7.884,6.390,83.112,2.614,0
13.078,4.497,80.487,1.939,0,0,3993600,3642,9528,0,0,11420,28484,10,0,373,4754403328,22028210176,2241961984,35065143296,0,0,0,3993600,11457,28545,13.094,4.502,80.463,1.941,0
21.896,3.849,72.806,1.449,0,0,52330496,240,11767,0,0,11805,33492,4,0,205,4963954688,21802663936,2241990656,35079360512,0,0,0,52330496,11764,33446,21.896,3.849,72.806,1.449,0
22.578,3.079,72.373,1.970,0,0,7421952,80,6257,0,0,9081,24491,6,0,139,5066481664,21723328512,2242039808,35054653440,0,0,0,7421952,9082,24518,22.578,3.079,72.373,1.970,0
38.535,3.579,56.846,1.040,0,0,47345664,80,4707,0,0,7492,78543,15,0,57,5201711104,21543858176,2242043904,35095064576,0,0,0,47345664,7492,78596,38.535,3.579,56.846,1.040,0
45.523,5.206,48.605,0.666,0,16384,8028160,8115,12813,0,0,7692,31411,16,0,57,5398724608,21234130944,2242060288,35205169152,0,0,16384,8028160,7692,31359,45.542,5.208,48.583,0.667,0
32.331,1.880,65.497,0.292,0,0,1716224,4846,6599,0,0,5458,10936,3,0,18,5443592192,21180743680,2242064384,35213086720,0,0,0,1716224,5459,10892,32.304,1.878,65.526,0.292,0
4.380,1.585,93.742,0.292,0,4489216,1679360,128,1307,0,0,2208,2858,1,1,30,5467176960,21148774400,2242064384,35221348352,0,0,4489216,2375680,2208,2905,4.382,1.586,93.823,0.209,0
4.037,1.706,94.049,0.208,0,0,21557248,2647,4199,0,0,2429,4809,2,0,40,5305532416,21310152704,2242068480,35221364736,0,0,0,20860928,2426,4757,4.037,1.706,93.966,0.291,0
4.420,0.375,95.204,0,0,0,0,0,879,0,0,1474,2327,1,0,7,5358247936,21257388032,2242068480,35221364736,0,0,0,0,1474,2327,4.419,0.375,95.206,0,0
1.417,1.292,97.250,0.042,0,0,1265664,53840,97015,0,0,1899,3938,0,0,27,5366398976,21249007616,2242068480,35221463040,0,0,0,1265664,1899,3938,1.415,1.291,97.252,0.042,0
0.583,1.373,98.044,0,0,0,0,61660,103376,0,0,1711,2398,0,0,7,5336023040,21279301632,2242068480,35221512192,0,0,0,0,1713,2408,0.583,1.373,98.044,0,0
0.250,1.335,98.415,0,0,0,0,79852,140864,0,0,1493,2437,1,0,7,5336600576,21278654464,2242068480,35221581824,0,0,0,0,1491,2429,0.250,1.335,98.415,0,0
0.417,0.960,98.623,0,0,0,0,75739,133013,0,0,1613,2590,2,0,7,5337399296,21277798400,2242068480,35221639168,0,0,0,0,1613,2588,0.418,0.961,98.622,0,0
0.543,0.501,98.957,0,0,0,0,91910,163433,0,0,2009,2887,0,0,13,5334376448,21280997376,2242068480,35221667840,0,0,0,0,2009,2887,0.583,0.500,98.917,0,0
0.500,1.166,98.292,0.042,0,0,81920,88900,156410,0,0,1547,2294,0,0,7,5333495808,21281898496,2242068480,35221872640,0,0,0,81920,1550,2305,0.458,1.167,98.333,0.042,0
0.459,1.418,98.123,0,0,0,12288,96300,176786,0,0,1804,2579,0,0,7,5334773760,21280497664,2242068480,35221995520,0,0,0,12288,1801,2568,0.459,1.418,98.123,0,0
1.584,1.751,96.540,0.125,0,0,2273280,59853,106015,0,0,2928,7141,1,0,27,5214699520,21401051136,2242072576,35221422080,0,0,0,2273280,2931,7155,1.583,1.792,96.500,0.125,0
4.292,0.833,94.875,0,0,0,0,0,629,0,0,1375,1716,2,0,11,5274214400,21341405184,2242072576,35221454848,0,0,0,0,1372,1702,4.301,0.793,94.906,0,0
3.630,0.834,95.536,0,0,0,1253376,0,377,0,0,1512,2327,1,0,20,5332557824,21282996224,2242084864,35221458944,0,0,0,1253376,1514,2338,3.664,0.833,95.504,0,0
0.292,1.336,98.372,0,0,0,0,624,876,0,0,1312,2350,0,0,14,5333897216,21281603584,2242084864,35221479424,0,0,0,0,1310,2339,0.292,1.336,98.372,0,0
4.196,1.454,94.017,0.332,0,0,671744,14512,15016,0,0,2654,5909,1,0,50,5350342656,21264691200,2242088960,35221475328,0,0,0,671744,2654,5909,4.161,1.457,94.049,0.333,0
4.379,1.585,93.912,0.125,0,16384,352256,9800,10304,0,0,1914,3125,1,0,11,5399969792,21212934144,2242097152,35221540864,0,0,16384,352256,1917,3132,4.377,1.584,93.914,0.125,0
