Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_writ,mem_used,mem_free,mem_buff,mem_cach
1,21.469,4.188,847014.679,33741402.67,3788783616,14654189568,2299891712,42989834240
2,5.307,2.073,0,1073152,3826368512,14621757440,2299891712,42986242048
3,3.819,2.989,0,3481600,3842646016,14631059456,2299891712,42971770880
4,3.717,2.974,0,2490368,3846152192,15575261184,2299895808,42042585088
5,4.106,2.24,0,1703936,3843776512,16984317952,2299899904,40666378240
6,2.201,4.07,0,2125824,3826876416,20592156672,2299899904,37171965952
7,4.794,7.67,0,1318912,3864395776,22225539072,2299899904,35524259840
8,3.282,3.241,0,3207168,3863388160,22854684672,2299912192,34916724736
9,4.961,2.852,0,2314240,3853152256,22894063616,2299912192,34890096640
10,4.95,2.599,0,798720,3855454208,22886518784,2299924480,34898251776
11,4.551,2.505,0,36356096,3869392896,22854397952,2299924480,34916229120
12,8.894,6.276,0,3235840,3972612096,22746324992,2299928576,34918322176
13,17.106,3.215,0,37003264,4125806592,22577475584,2299981824,34930745344
14,18.727,3.597,0,9650176,4201414656,22487855104,2300018688,34941689856
15,35.595,2.748,0,5050368,4438679552,22272126976,2300018688,34917548032
16,39.244,6.478,0,1220608,4665266176,21930868736,2300026880,35028353024
17,39.109,2.749,16384,56455168,4717932544,21840711680,2300030976,35064512512
18,4.207,1.374,0,6733824,4755816448,21794353152,2300030976,35072905216
19,4.825,1.082,4489216,32768,4767412224,21774475264,2300030976,35081056256
20,4.269,1.16,0,23199744,4619923456,21917327360,2300035072,35085492224
21,4.623,1.249,0,0,4636827648,21900132352,2300035072,35085512704
22,2.994,1.331,0,1236992,4677570560,21859368960,2300035072,35085516800
23,1.122,1.288,0,0,4676435968,21861117952,2300035072,35085545472
24,0.5,0.542,0,0,4680171520,21857259520,2300035072,35085635584
25,0.209,0.876,0,0,4679536640,21857865728,2300035072,35085664256
26,0.25,1.25,0,0,4679868416,21857488896,2300035072,35085709312
27,0.749,1.248,0,73728,4679598080,21857701888,2300035072,35085774848
28,0.458,1.375,0,0,4680679424,21856432128,2300035072,35085955072
29,0.375,0.042,0,0,4681007104,21855928320,2300035072,35086131200
30,0.375,1.208,0,0,4681056256,21855887360,2300035072,35086131200
31,0.5,1.208,0,0,4682285056,21854511104,2300035072,35086278656
32,0.5,1.042,0,57344,4682502144,21854244864,2300039168,35086323712
33,4.33,1.707,0,2211840,4611272704,21925986304,2300047360,35085713408
34,4.702,0.499,0,0,4630245376,21907013632,2300047360,35085721600
35,1.291,1.208,0,1245184,4640206848,21897027584,2300047360,35085729792
36,0.542,1.333,0,0,4641644544,21895536640,2300047360,35085750272
37,0.292,1.208,0,12288,4641689600,21895487488,2300047360,35085754368
38,0.167,0.667,0,0,4642045952,21895139328,2300047360,35085754368
39,0.167,0.626,0,0,4641177600,21895938048,2300047360,35085758464
40,0.208,1.125,0,81920,4641480704,21895630848,2300051456,35085758464
41,0.292,1.25,0,0,4641857536,21895254016,2300051456,35085758464
42,0.333,1.249,0,0,4638711808,21898399744,2300051456,35085758464
43,0.25,0.416,0,0,4638736384,21898375168,2300051456,35085758464
44,0.208,0.917,0,4861952,4637077504,21900025856,2300051456,35085758464
45,0.25,1.416,0,151552,4637495296,21899616256,2300051456,35085758464
46,0.25,1.083,0,0,4637466624,21899640832,2300051456,35085762560
47,0.457,1.289,0,12288,4637847552,21899259904,2300051456,35085762560
48,1.707,0.5,0,0,4658855936,21878009856,2300051456,35085799424
49,3.998,1.499,0,667648,4707151872,21828866048,2300059648,35085803520
50,3.117,1.704,32768,15073280,4738129920,21796089856,2300071936,35086065664
51,3.324,1.62,32768,5742592,4752601088,21781585920,2300084224,35085955072
52,5.576,1.581,0,0,4827381760,21706678272,2300084224,35085991936
53,3.658,0.956,0,0,4860211200,21673832448,2300084224,35086000128
54,3.083,1.708,0,0,4893089792,21640929280,2300084224,35086008320
55,3.163,1.706,0,8192,4927438848,21606572032,2300084224,35086016512
56,2.999,1.666,0,65536,4958269440,21575749632,2300088320,35086012416
57,2.923,1.336,0,12288,4988452864,21545570304,2300088320,35086016512
58,3.537,0.832,0,0,5011509248,21522497536,2300088320,35086016512
59,3.167,1.5,0,176128,5030772736,21503242240,2300092416,35086020608
60,4.795,2.728,4096,7278592,4611948544,21910290432,2300186624,35097616384
61,4.574,2.162,0,937984,4610412544,21840842752,2300203008,35168567296
62,4.431,2.174,0,0,4611006464,21761171456,2300203008,35247644672
63,4.661,2.33,0,0,4610072576,21624823808,2300203008,35384909824
64,4.515,2.676,0,0,4611694592,21457354752,2300203008,35550756864
65,3.793,2.876,0,116047872,4584484864,21351817216,2300203008,35683512320
66,4.096,2.4,19922944,1724416,4565504000,21312536576,2300223488,35741777920
67,2.29,0.833,0,696320,4586926080,21263745024,2300223488,35769147392
68,0.208,0.958,0,0,4586811392,21263859712,2300223488,35769147392
69,0.208,1.084,0,0,4587069440,21263601664,2300223488,35769147392
70,0.292,1.418,0,62193664,4587671552,21262999552,2300223488,35769147392
71,0.417,1.292,0,212545536,4587831296,21262835712,2300223488,35769151488
72,0.25,0.042,0,86016,4585844736,21264818176,2300227584,35769151488
73,0.25,1.249,0,4096,4585644032,21265018880,2300227584,35769151488
74,0.292,1.291,0,0,4584341504,21266321408,2300227584,35769151488
75,1.374,1.041,0,0,4585340928,21265317888,2300227584,35769155584
76,0.25,1.085,0,647168,4585684992,21264723968,2300231680,35769352192
77,1.585,1.043,0,3219456,4580970496,21269946368,2300231680,35769319424
78,4.271,2.722,0,68452352,3974086656,21885665280,2300243968,35769110528
79,1.886,2.389,16384,2707456,3872346112,21991002112,2300248064,35768967168
80,3.928,3.176,0,2482176,3862736896,22461906944,2300256256,35315101696
81,4.229,2.032,0,0,3864051712,22433218560,2300256256,35342475264
82,6.169,3.668,0,35639296,3920461824,22376214528,2300264448,35342782464
83,9.659,5.179,0,49668096,3965919232,22257352704,2300268544,35412221952
84,17.157,4.103,0,129441792,4142747648,21972381696,2300272640,35519586304
85,18.58,3.84,7716864,36401152,4360151040,21721346048,2300293120,35550736384
86,27.794,2.576,0,8462336,4503568384,21597663232,2300297216,35528806400
87,33.458,2.12,0,0,4679884800,21419122688,2300297216,35528826880
88,31.93,2.459,0,258048,4757270528,21339832320,2300297216,35528929280
89,4.587,1.418,0,4096,4742508544,21353091072,2300297216,35528941568
90,5.912,1.749,0,0,4819046400,21276545024,2300297216,35528941568
91,4.574,0.915,0,0,4863287296,21232308224,2300297216,35528941568
92,3.078,1.29,0,0,4892340224,21203255296,2300297216,35528941568
