Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_write,mem_used,mem_free,mem_buff,mem_cach
1,12.330,2.808,477094.809,19017060.190,5745782784,12939755520,2892124160,41379917824
2,0.375,0.666,0,544768,5744979968,12940513280,2892124160,41379930112
3,0.250,1.293,0,417792,5745836032,12939657216,2892124160,41379930112
4,0.125,1.377,0,0,5749055488,12936437760,2892124160,41379930112
5,0.250,1.292,0,16384,5749313536,12936175616,2892124160,41379934208
6,0.208,0.542,0,0,5750431744,12935053312,2892124160,41379938304
7,0.167,0.917,0,126976,5750034432,12935442432,2892124160,41379946496
8,0.250,1.251,0,454656,5750181888,12935286784,2892124160,41379954688
9,0.292,1.249,0,0,5750837248,12934627328,2892124160,41379958784
10,0.291,1.332,0,0,5750243328,12935208960,2892124160,41379971072
11,0.209,0.542,0,0,5750386688,12935065600,2892124160,41379971072
12,0.250,1.042,0,90112,5750394880,12935057408,2892124160,41379971072
13,0.167,1.460,0,389120,5749067776,12936384512,2892124160,41379971072
14,0.250,1.293,0,0,5748543488,12936908800,2892124160,41379971072
15,0.333,1.041,0,16384,5749075968,12936376320,2892124160,41379971072
16,0.125,0.459,0,0,5748805632,12936613888,2892124160,41379971072
17,0.541,1.414,0,143360,5750476800,12934901760,2892124160,41379979264
18,0.250,1.376,0,421888,5750407168,12934971392,2892124160,41379979264
19,0.334,1.418,0,0,5751042048,12934336512,2892124160,41379979264
20,0.500,0.916,4096,0,5749682176,12935593984,2892128256,41379979264
21,0.292,0.916,0,0,5749018624,12936093696,2892128256,41380110336
22,0.333,1.291,0,94208,5749338112,12935737344,2892128256,41380114432
23,0.334,1.334,0,368640,5749645312,12935430144,2892128256,41380114432
24,0.457,1.247,0,0,5750087680,12934983680,2892128256,41380118528
25,0.167,0.459,0,16384,5749440512,12935626752,2892128256,41380122624
26,0.416,1.081,0,0,5749321728,12935720960,2892128256,41380130816
27,0.375,1.208,0,106496,5749522432,12935520256,2892128256,41380130816
28,0.625,1.499,0,0,5749641216,12935401472,2892128256,41380130816
29,0.125,1.085,0,0,5749596160,12935446528,2892128256,41380130816
30,0.167,0.417,0,0,5749284864,12935757824,2892128256,41380130816
31,0.208,1.292,0,0,5749329920,12935708672,2892128256,41380134912
32,0.292,1.208,0,36864,5749252096,12935786496,2892128256,41380134912
33,0.209,1.252,0,507904,5749407744,12935630848,2892128256,41380134912
34,0.333,1.041,0,0,5749411840,12935622656,2892128256,41380139008
35,0.209,0.292,0,16384,5749784576,12935241728,2892128256,41380147200
36,0.333,1.374,0,0,5749641216,12935372800,2892128256,41380159488
37,0.333,1.458,0,110592,5748662272,12936351744,2892128256,41380159488
38,0.458,1.249,0,0,5753323520,12931665920,2892128256,41380167680
39,0.458,0.624,0,0,5754482688,12930502656,2892128256,41380171776
40,0.125,0.876,0,0,5754474496,12930510848,2892128256,41380171776
41,0.666,1.208,0,0,5754609664,12930375680,2892128256,41380171776
42,0.250,1.252,0,45056,5755142144,12929843200,2892128256,41380171776
43,0.375,1.291,0,4096,5754728448,12930252800,2892128256,41380175872
44,0.250,0.417,0,0,5754998784,12929982464,2892128256,41380175872
45,0.292,1.209,0,16384,5755670528,12929265664,2892128256,41380188160
46,0.292,1.292,0,0,5756407808,12928528384,2892128256,41380188160
47,0.416,1.289,0,114688,5755047936,12929888256,2892128256,41380188160
48,0.250,1.209,0,0,5755891712,12929048576,2892128256,41380184064
49,0.208,0.208,0,0,5755244544,12929691648,2892128256,41380188160
50,0.208,1.292,0,0,5755342848,12929593344,2892128256,41380188160
51,0.708,1.250,0,0,5756313600,12928622592,2892128256,41380188160
52,0.250,1.335,0,57344,5756174336,12928761856,2892128256,41380188160
53,0.375,1.083,0,0,5757034496,12927893504,2892128256,41380196352
54,0.209,0.542,0,798720,5756620800,12928307200,2892128256,41380196352
55,0.208,1.251,0,16384,5756665856,12928258048,2892128256,41380200448
56,2.037,2.079,0,241664,5762969600,12921905152,2892128256,41380200448
57,0.292,1.252,0,0,5762363392,12922511360,2892128256,41380200448
58,0.333,0.583,0,0,5763026944,12921843712,2892128256,41380204544
59,0.167,0.834,0,0,5762945024,12921925632,2892128256,41380204544
60,1.249,1.374,0,0,5785075712,12899790848,2892128256,41380208640
61,5.077,1.998,0,77824,5867192320,12817412096,2892128256,41380208640
62,5.433,2.157,0,516096,5863600128,12821000192,2892128256,41380212736
63,4.865,1.996,0,30318592,5881204736,12775178240,2892128256,41407602688
64,11.065,6.305,0,6873088,6023307264,12630114304,2892128256,41408757760
65,22.577,5.302,0,9928704,6192087040,12445372416,2892132352,41418731520
66,20.167,3.208,0,37183488,6313201664,12332691456,2892136448,41408004096
67,29.553,2.897,0,4947968,6547169280,12094242816,2892136448,41410084864
68,31.690,4.640,0,56594432,6653751296,11842158592,2892136448,41552191488
69,47.289,3.336,0,7356416,6790774784,11695665152,2892140544,41560150016
70,14.363,2.206,16384,548864,6806626304,11668852736,2892140544,41570627584
71,4.250,1.750,0,23257088,6529814528,11939184640,2892140544,41577025536
72,4.498,1.416,4489216,16384,6660980736,11807776768,2892140544,41577054208
73,4.782,0.374,0,1273856,6717759488,11750838272,2892140544,41577058304
74,0.667,1.583,0,0,6721912832,11746549760,2892140544,41577127936
75,0.375,1.251,0,16384,6711332864,11756965888,2892140544,41577209856
