"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output ./dstat_8_thread.csv",,,,"Date:","13 May 2019 18:30:03 WEST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
22.433,4.422,71.166,1.980,0,882311.047,34976729.590,0,0,210.909,800.852,9766.364,28188.447,1,0,168.383,6278377472,18099957760,2210820096,37508231168,210.909,800.852,882311.047,34976729.590,9766.364,28188.447,22.433,4.422,71.166,1.980,0
4.594,1.987,93.295,0.124,0,0,1114112,624,624,0,0,5905,10951,2,0,172,6331371520,18051489792,2210820096,37504593920,0,0,0,1114112,5906,10953,4.626,2.024,93.226,0.124,0
4.444,1.993,93.397,0.166,0,0,2465792,624,624,0,0,8948,15274,1,0,248,6344810496,18048929792,2210828288,37497749504,0,0,0,2465792,8987,15308,4.442,1.993,93.400,0.166,0
3.518,3.435,92.839,0.207,0,0,2822144,624,624,0,0,11688,17185,1,0,310,6347079680,18915872768,2210840576,36639956992,0,0,0,2822144,11668,17185,3.481,3.398,92.913,0.207,0
3.082,3.290,93.586,0.042,0,0,1458176,1872,1872,0,0,7157,12233,1,0,168,6342316032,20856205312,2210852864,34745335808,0,0,0,1458176,7137,12197,3.086,3.294,93.578,0.042,0
3.283,3.574,92.934,0.208,0,0,4694016,0,0,0,0,9118,13870,1,0,237,6351876096,22775853056,2210852864,32851980288,0,0,0,4694016,9118,13870,3.281,3.613,92.899,0.208,0
3.557,2.854,93.424,0.165,0,0,2646016,624,624,0,0,9718,15277,3,0,264,6337667072,23192674304,2210856960,32460722176,0,0,0,2646016,9719,15277,3.595,2.893,93.347,0.165,0
4.364,2.826,92.685,0.125,0,0,1875968,624,624,0,0,9751,16857,6,0,288,6349504512,23217364992,2210865152,32424636416,0,0,0,1875968,9770,16909,4.360,2.824,92.691,0.125,0
4.634,3.310,92.015,0.041,0,0,1024000,624,624,0,0,12954,20385,1,0,415,6338990080,23230869504,2210873344,32423526400,0,0,0,1024000,12935,20345,4.598,3.231,92.129,0.041,0
4.544,2.251,92.288,0.917,0,0,30543872,2362,2367,0,0,5760,11650,0,1,156,6359584768,23182426112,2210873344,32450924544,0,0,0,30543872,5759,11638,4.549,2.254,92.279,0.918,0
10.750,6.708,80.042,2.500,0,0,8290304,0,1332,0,0,19988,45657,3,0,559,6475227136,23064821760,2210897920,32451645440,0,0,0,8290304,19997,45674,10.732,6.739,80.033,2.496,0
19.934,2.559,76.599,0.908,0,0,2318336,3642,11604,0,0,10052,31158,4,1,246,6576025600,22947053568,2210942976,32464093184,0,0,0,2318336,10044,31155,19.992,2.561,76.539,0.909,0
